DATE,IPG211111CN
1997-01-01,98.3693
1997-02-01,100.0931
1997-03-01,99.1370
1997-04-01,98.9720
1997-05-01,99.4789
1997-06-01,98.9794
1997-07-01,98.4829
1997-08-01,97.5307
1997-09-01,99.6590
1997-10-01,99.3732
1997-11-01,99.2529
1997-12-01,100.3564
1998-01-01,100.5018
1998-02-01,99.5075
1998-03-01,98.4624
1998-04-01,99.6136
1998-05-01,97.5265
1998-06-01,96.3020
1998-07-01,95.1796
1998-08-01,95.3062
1998-09-01,88.9503
1998-10-01,94.3806
1998-11-01,94.3391
1998-12-01,92.8559
1999-01-01,91.6196
1999-02-01,91.6619
1999-03-01,90.3777
1999-04-01,90.4667
1999-05-01,90.2709
1999-06-01,88.5307
1999-07-01,89.1068
1999-08-01,88.8309
1999-09-01,89.2020
1999-10-01,91.3898
1999-11-01,91.6002
1999-12-01,91.5689
2000-01-01,88.8893
2000-02-01,89.9277
2000-03-01,90.9527
2000-04-01,89.9672
2000-05-01,89.8531
2000-06-01,89.4919
2000-07-01,88.2078
2000-08-01,88.9680
2000-09-01,88.4911
2000-10-01,89.2779
2000-11-01,89.6408
2000-12-01,89.9850
2001-01-01,89.1230
2001-02-01,88.8331
2001-03-01,90.3730
2001-04-01,90.1015
2001-05-01,89.5916
2001-06-01,88.6136
2001-07-01,88.3501
2001-08-01,87.9930
2001-09-01,87.7408
2001-10-01,88.3115
2001-11-01,90.3883
2001-12-01,90.4819
2002-01-01,90.2664
2002-02-01,90.3818
2002-03-01,90.4566
2002-04-01,89.8210
2002-05-01,90.7528
2002-06-01,90.4353
2002-07-01,88.3821
2002-08-01,89.0739
2002-09-01,83.1627
2002-10-01,82.3487
2002-11-01,86.4268
2002-12-01,87.9355
2003-01-01,88.4513
2003-02-01,88.8760
2003-03-01,89.1924
2003-04-01,87.9987
2003-05-01,87.0407
2003-06-01,86.9731
2003-07-01,84.5034
2003-08-01,85.6613
2003-09-01,86.2021
2003-10-01,86.2716
2003-11-01,85.2418
2003-12-01,85.6238
2004-01-01,85.8304
2004-02-01,85.6289
2004-03-01,86.3174
2004-04-01,85.4522
2004-05-01,85.3851
2004-06-01,83.0952
2004-07-01,84.2805
2004-08-01,81.8313
2004-09-01,78.1028
2004-10-01,79.4650
2004-11-01,83.3515
2004-12-01,84.6834
2005-01-01,83.7003
2005-02-01,84.5474
2005-03-01,86.0721
2005-04-01,85.4853
2005-05-01,84.6290
2005-06-01,83.6246
2005-07-01,80.7255
2005-08-01,79.8899
2005-09-01,64.7959
2005-10-01,70.0275
2005-11-01,74.6616
2005-12-01,76.6704
2006-01-01,77.5835
2006-02-01,77.3380
2006-03-01,77.2618
2006-04-01,78.0977
2006-05-01,79.1559
2006-06-01,79.3437
2006-07-01,78.2896
2006-08-01,77.4531
2006-09-01,77.3136
2006-10-01,78.5006
2006-11-01,77.8246
2006-12-01,79.6982
2007-01-01,78.4959
2007-02-01,78.6507
2007-03-01,78.6724
2007-04-01,79.6096
2007-05-01,80.0867
2007-06-01,77.9959
2007-07-01,77.4260
2007-08-01,76.3776
2007-09-01,75.3393
2007-10-01,77.1829
2007-11-01,77.3677
2007-12-01,78.5475
2008-01-01,78.6199
2008-02-01,79.1310
2008-03-01,79.7618
2008-04-01,79.6233
2008-05-01,79.0554
2008-06-01,78.9797
2008-07-01,79.5818
2008-08-01,76.9113
2008-09-01,60.9813
2008-10-01,72.7737
2008-11-01,78.0311
2008-12-01,78.4179
2009-01-01,78.9641
2009-02-01,80.4747
2009-03-01,80.0694
2009-04-01,81.1448
2009-05-01,82.6268
2009-06-01,80.9552
2009-07-01,82.9206
2009-08-01,83.1704
2009-09-01,85.4523
2009-10-01,84.8308
2009-11-01,82.7085
2009-12-01,83.6406
2010-01-01,82.8886
2010-02-01,85.3248
2010-03-01,84.6772
2010-04-01,82.7844
2010-05-01,82.9151
2010-06-01,82.7532
2010-07-01,81.4937
2010-08-01,83.6856
2010-09-01,86.2915
2010-10-01,86.4411
2010-11-01,85.6213
2010-12-01,86.1634
2011-01-01,84.4668
2011-02-01,83.0401
2011-03-01,86.3079
2011-04-01,85.3975
2011-05-01,86.3314
2011-06-01,85.8004
2011-07-01,83.5255
2011-08-01,86.9308
2011-09-01,85.8804
2011-10-01,90.5414
2011-11-01,92.3169
2011-12-01,92.7918
2012-01-01,94.7730
2012-02-01,96.0774
2012-03-01,96.9254
2012-04-01,96.8543
2012-05-01,97.7059
2012-06-01,96.4381
2012-07-01,98.7754
2012-08-01,97.3527
2012-09-01,100.9649
2012-10-01,106.8480
2012-11-01,108.2441
2012-12-01,109.0409
2013-01-01,108.0645
2013-02-01,109.9059
2013-03-01,110.8859
2013-04-01,113.1561
2013-05-01,112.5607
2013-06-01,111.8153
2013-07-01,115.1254
2013-08-01,115.8771
2013-09-01,119.7576
2013-10-01,118.4588
2013-11-01,121.1252
2013-12-01,121.5311
2014-01-01,123.8650
2014-02-01,125.1794
2014-03-01,127.3125
2014-04-01,131.9026
2014-05-01,132.5120
2014-06-01,134.1295
2014-07-01,135.1254
2014-08-01,136.7149
2014-09-01,139.1044
2014-10-01,141.8698
2014-11-01,143.1369
2014-12-01,145.6623
2015-01-01,144.4017
2015-02-01,146.3379
2015-03-01,147.3707
2015-04-01,148.4751
2015-05-01,145.6176
2015-06-01,143.7822
2015-07-01,145.0971
2015-08-01,144.6443
2015-09-01,145.5547
2015-10-01,144.4476
2015-11-01,143.3597
2015-12-01,142.3398
2016-01-01,141.5058
2016-02-01,139.3171
2016-03-01,139.7206
2016-04-01,136.4113
2016-05-01,135.7673
2016-06-01,133.4092
2016-07-01,132.8634
2016-08-01,133.4037
2016-09-01,131.0739
2016-10-01,135.2004
2016-11-01,136.7545
2016-12-01,135.0579
2017-01-01,136.0151
2017-02-01,139.7616
2017-03-01,140.6347
2017-04-01,139.7818
2017-05-01,141.0662
2017-06-01,139.6258
2017-07-01,142.0304
2017-08-01,142.2278
2017-09-01,146.1078
2017-10-01,149.3223
2017-11-01,155.4806
2017-12-01,154.5212
2018-01-01,153.8106
2018-02-01,157.7185
2018-03-01,161.0079
2018-04-01,161.2218
2018-05-01,161.0550
2018-06-01,164.2741
2018-07-01,168.3318
2018-08-01,174.3154
2018-09-01,176.5566
2018-10-01,177.9179
2018-11-01,183.5680
2018-12-01,184.1394
2019-01-01,182.5539
2019-02-01,178.5425
2019-03-01,181.9135
2019-04-01,185.4442
2019-05-01,185.3024
2019-06-01,184.5004
2019-07-01,180.9333
2019-08-01,189.4646
2019-09-01,190.9089
2019-10-01,193.8980
2019-11-01,196.8331
2019-12-01,196.0397
2020-01-01,195.1628
2020-02-01,195.0352
2020-03-01,194.9286
2020-04-01,183.8187
2020-05-01,153.3748
2020-06-01,159.8629
2020-07-01,167.9483
2020-08-01,162.0369
2020-09-01,166.3663
2020-10-01,159.8218
2020-11-01,170.8845
2020-12-01,169.6635
2021-01-01,169.2416
2021-02-01,150.8145
2021-03-01,165.8403
2021-04-01,165.4243
